criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
poisson,random,37,100,0.2,1,0.5,2195.0920673410815
absolute_error,random,2,10,0.5,10000,0.7,342.9217936802974
friedman_mse,best,10,1,0.0,10,0.7,259.7415198503299
poisson,random,2,5,0.6,1,0.8999999999999999,1845.5527276771957
friedman_mse,best,37,37,0.9999999999999999,1,0.6,1339.4588032548336
absolute_error,best,37,1,0.1,100,0.4,291.02690520446106
poisson,random,73,2,0.30000000000000004,10000,0.7999999999999999,366.5113194565376
poisson,best,37,1,0.4,10,0.0,365.89276572148583
friedman_mse,best,73,1,0.2,10,0.4,340.6851365334149
friedman_mse,best,37,37,0.8999999999999999,1000,0.0,375.41923983198467
poisson,random,100,2,0.2,1000,0.7,441.8873880975316
poisson,best,2,37,0.30000000000000004,100,0.7,385.3034584828015
squared_error,random,37,2,0.7999999999999999,1,0.4,1845.5527276771957
squared_error,random,2,73,0.8999999999999999,1000,0.30000000000000004,1719.788839536799
poisson,random,10,100,0.6,10,0.7999999999999999,1944.0361154660836
poisson,random,73,10,0.8999999999999999,1,0.7,1845.5527276771957
friedman_mse,best,2,37,0.0,10,0.9999999999999999,375.41923983198467
poisson,best,100,10,0.2,10000,0.9999999999999999,358.76528321971387
friedman_mse,best,10,37,0.4,1,0.2,1339.4588032548336
absolute_error,random,2,5,0.1,1,0.0,1703.9406040892188
absolute_error,random,2,2,0.7,10000,0.5,291.5707063197027
poisson,best,100,37,0.8999999999999999,1000,0.30000000000000004,399.5187328129814
friedman_mse,random,10,37,0.7999999999999999,10,0.30000000000000004,640.7141583346229
squared_error,best,2,10,0.8999999999999999,1000,0.2,305.0162862574415
poisson,random,37,10,0.4,1000,0.9999999999999999,380.513698795892
absolute_error,best,2,100,0.7,10000,0.6,670.2815427509292
absolute_error,random,5,5,0.9999999999999999,10000,0.8999999999999999,294.1539219330856
friedman_mse,random,73,100,0.0,1,0.4,2195.0920673410815
squared_error,random,73,73,0.1,1000,0.0,1719.788839536799
friedman_mse,random,2,2,0.5,1,0.30000000000000004,1845.5527276771957
squared_error,random,100,37,0.1,10000,0.4,601.8332018628807
squared_error,best,73,37,0.5,10000,0.6,375.41923983198467
squared_error,best,100,37,0.2,100,0.7999999999999999,373.8142127837702
absolute_error,best,100,2,0.5,100,0.4,346.72437732342
friedman_mse,best,5,2,0.0,1000,0.8999999999999999,237.5628485130111
friedman_mse,best,100,100,0.8999999999999999,100,0.2,621.035763408322
friedman_mse,best,5,2,0.6,1,0.8999999999999999,1339.4588032548336
friedman_mse,random,2,10,0.7,100,0.30000000000000004,358.29931380400495
poisson,best,100,2,0.7,1,0.8999999999999999,1339.4588032548336
squared_error,best,5,2,0.7999999999999999,10000,0.1,239.9175851920693
poisson,best,100,2,0.4,10,0.1,378.9909666042891
friedman_mse,best,5,2,0.8999999999999999,10000,0.30000000000000004,237.56753004956624
friedman_mse,random,5,73,0.0,100,0.7,1719.788839536799
poisson,random,100,37,0.0,10,0.7999999999999999,601.8332018628807
absolute_error,random,5,73,0.6,10,0.6,1328.6551672862452
absolute_error,random,100,37,0.8999999999999999,10,0.8999999999999999,577.0268773234202
poisson,random,2,5,0.7999999999999999,1,0.7999999999999999,1845.5527276771957
squared_error,best,5,5,0.2,100,0.7,252.87031916415899
poisson,random,73,37,0.8999999999999999,100,0.30000000000000004,643.8161186249581
squared_error,best,73,73,0.30000000000000004,10000,0.30000000000000004,605.7706768948514
poisson,random,73,2,0.30000000000000004,1,0.9999999999999999,1845.5527276771957
absolute_error,best,2,100,0.7999999999999999,1000,0.30000000000000004,670.2815427509292
squared_error,random,73,2,0.30000000000000004,1000,0.7999999999999999,372.62490695148637
squared_error,random,73,73,0.8999999999999999,10,0.6,1719.788839536799
friedman_mse,best,5,1,0.2,10000,0.6,247.035010842627
poisson,best,2,5,0.2,10000,0.1,323.4732769522354
friedman_mse,random,2,2,0.7999999999999999,1,0.6,1845.5527276771957
squared_error,random,73,1,0.5,100,0.7,372.62490695148637
squared_error,random,73,10,0.7999999999999999,10000,0.9999999999999999,372.62490695148637
poisson,best,100,1,0.8999999999999999,100,0.7,392.324992144471
squared_error,best,10,2,0.6,100,0.9999999999999999,251.8069381232666
absolute_error,random,37,73,0.2,10,0.9999999999999999,1328.6551672862452
absolute_error,best,5,1,0.7,10,0.5,236.9835223048328
absolute_error,best,73,5,0.7,10000,0.1,352.4125371747212
absolute_error,random,73,73,0.1,1000,0.30000000000000004,1326.1393866171002
poisson,best,100,37,0.6,1,0.30000000000000004,1339.4588032548336
poisson,random,100,73,0.9999999999999999,100,0.30000000000000004,1717.8047784528624
poisson,best,100,1,0.7,10,0.2,392.324992144471
squared_error,best,73,5,0.8999999999999999,100,0.4,340.1385074117923
squared_error,random,73,1,0.30000000000000004,10,0.4,372.62490695148637
poisson,random,73,73,0.7999999999999999,1,0.6,2195.0920673410815
squared_error,random,5,73,0.0,10,0.2,1719.788839536799
friedman_mse,random,100,10,0.5,1,0.7,1845.5527276771957
absolute_error,best,100,100,0.9999999999999999,100,0.1,670.2815427509292
poisson,random,100,73,0.7,1000,0.5,1717.8047784528624
poisson,best,2,100,0.6,1,0.5,1339.4588032548336
absolute_error,random,37,5,0.30000000000000004,1000,0.2,325.2494052044609
absolute_error,best,2,100,0.5,10000,0.9999999999999999,670.2815427509292
squared_error,best,73,100,0.4,1,0.0,1339.4588032548336
poisson,best,2,73,0.7999999999999999,1000,0.4,612.3065469435656
poisson,random,10,37,0.7,1,0.4,1845.5527276771957
friedman_mse,random,5,37,0.7999999999999999,100,0.7,640.7141583346229
squared_error,best,5,37,0.30000000000000004,1000,0.4,375.41923983198467
friedman_mse,best,37,73,0.4,10,0.0,605.7706768948514
squared_error,random,37,37,0.0,10000,0.7999999999999999,640.7141583346229
poisson,random,100,5,0.0,1000,0.5,430.02885242792837
friedman_mse,best,73,10,0.4,10000,0.4,340.6851365334149
squared_error,random,100,73,0.1,1,0.30000000000000004,2195.0920673410815
absolute_error,random,10,73,0.1,10000,0.9999999999999999,1326.1393866171002
