N_neighbours,weights,algorithm,Leaf_size,P,metric,Error-
2,distance,ball_tree,20,1.5,l2,400.2097608745243
1,uniform,brute,40,1.0,manhattan,458.78278810408926
6,uniform,kd_tree,60,2.5,cityblock,362.1387143742253
1,distance,kd_tree,40,4.5,manhattan,435.5475464684016
1,distance,brute,40,1.0,manhattan,458.78278810408926
9,distance,kd_tree,10,4.5,manhattan,367.4512424462839
6,distance,ball_tree,40,2.5,l1,344.1206721699319
6,distance,kd_tree,50,2.5,manhattan,345.92380626647366
6,distance,kd_tree,20,3.0,cityblock,347.8197580549021
9,distance,ball_tree,90,3.0,cityblock,359.0378787321866
9,uniform,ball_tree,90,2.5,l2,409.6131268071047
8,distance,ball_tree,100,2.0,l2,383.3236648996824
7,uniform,brute,30,3.5,euclidean,387.6002124269784
1,uniform,kd_tree,10,1.5,cityblock,466.0044237918216
9,uniform,ball_tree,20,3.5,l2,407.1407971912436
9,uniform,kd_tree,60,2.5,cityblock,385.1545848822801
10,uniform,brute,20,4.0,l2,404.0589739776954
10,uniform,ball_tree,60,1.5,euclidean,406.9302397769516
7,uniform,kd_tree,100,4.0,l2,388.5243653744028
8,distance,ball_tree,20,2.0,euclidean,382.6505801807192
5,distance,kd_tree,60,3.0,l2,353.49343204711795
7,uniform,ball_tree,50,3.5,euclidean,385.3468481147105
5,distance,ball_tree,80,2.0,l1,342.0405155115951
6,uniform,brute,70,2.5,manhattan,344.0910377942999
6,uniform,kd_tree,20,3.5,cityblock,366.0992503097894
8,distance,brute,100,4.0,cityblock,348.3674483850885
2,distance,kd_tree,70,2.0,manhattan,374.08836741016114
1,distance,kd_tree,100,2.0,manhattan,442.82332713754647
8,distance,kd_tree,50,4.0,l2,384.8170717363682
1,uniform,kd_tree,50,4.0,manhattan,435.5475464684016
6,distance,brute,90,4.0,euclidean,364.3714144264407
9,distance,kd_tree,20,1.5,euclidean,389.6423202924802
4,distance,ball_tree,100,1.5,cityblock,334.9707117631439
3,uniform,brute,50,1.5,l1,343.66601610904576
1,distance,brute,30,1.0,euclidean,458.78278810408926
4,distance,ball_tree,30,1.5,l1,348.15370255797484
7,uniform,brute,70,1.0,euclidean,387.6002124269784
9,distance,brute,60,3.0,manhattan,352.5877222517571
2,uniform,ball_tree,20,3.5,manhattan,408.20629182156136
4,distance,ball_tree,80,3.0,l1,334.9707117631439
4,uniform,kd_tree,40,2.0,euclidean,352.9799535315984
4,distance,brute,80,1.5,l1,343.24382311028484
7,distance,brute,30,4.0,euclidean,373.6682558266071
7,uniform,brute,70,1.5,cityblock,359.1915002655337
10,uniform,kd_tree,80,3.0,cityblock,387.8630390334571
4,distance,brute,100,1.5,l1,343.24382311028484
4,distance,brute,40,1.0,manhattan,343.24382311028484
